record_id,experiment_id,figure_panel,cell_line,assay,observable,variant,dose_nM,time_min,condition,inhibitor,inhibitor_concentration_uM,value,value_unit,replicate_count,dispersion_value,extraction_method,evidence_class
fig5c_D7_60min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,D7,200,60,control,,,69.2,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_D7_90min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,D7,200,90,control,,,57.5,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_D7_120min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,D7,200,120,control,,,47.3,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_D7_240min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,D7,200,240,control,,,37,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_D7_300min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,D7,200,300,control,,,34.9,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_C4_1min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,C4,200,1,control,,,11,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_C4_5min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,C4,200,5,control,,,21.9,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_C4_15min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,C4,200,15,control,,,38.4,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_C4_60min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,C4,200,60,control,,,52.1,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_C4_90min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,C4,200,90,control,,,47.3,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_C4_120min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,C4,200,120,control,,,38.4,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_C4_240min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,C4,200,240,control,,,28.8,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_C4_300min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,C4,200,300,control,,,28.1,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_WT_control_1min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,WT,,1,control,,,83,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_WT_control_5min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,WT,,5,control,,,90.9,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
